Nº;Date;Time;Shift;League;HomeTeam;HomePlayer;AwayTeam;AwayPlayer;golsHome;golsAway;FTR
180;02/07;13:00;Tarde;GT_Leagues;Napoli;Furious;Porto;Professor;1;2;A
181;02/07;13:00;Tarde;GT_Leagues;PSV;Socrates;Leipzig;Saigon;2;5;A
182;02/07;13:00;Tarde;GT_Leagues;Dortmund;Venom;Lazio;Seagal;1;4;A
183;02/07;13:00;Tarde;GT_Leagues;Arsenal;Raul;Copenhagen;Mars;3;2;H
184;02/07;12:45;Tarde;GT_Leagues;Barcelona;Anthem;Lazio;Seagal;4;4;D
185;02/07;12:45;Tarde;GT_Leagues;Arsenal;Raul;Dortmund;Venom;1;1;D
186;02/07;12:30;Tarde;GT_Leagues;PSG;Pele;Man City;Cruise;4;0;H
187;02/07;12:30;Tarde;GT_Leagues;Real Madrid;Dennis;Bayern;Pontiac;3;4;A
188;02/07;12:30;Tarde;GT_Leagues;Barcelona;Anthem;Dortmund;Venom;3;2;H
189;02/07;12:30;Tarde;GT_Leagues;Lazio;Seagal;Copenhagen;Mars;1;1;D
190;02/07;12:15;Tarde;GT_Leagues;Real Madrid;Dennis;Man City;Cruise;2;4;A
191;02/07;12:15;Tarde;GT_Leagues;Inter;Gorilla;Bayern;Pontiac;3;3;D
192;02/07;12:15;Tarde;GT_Leagues;Bayer 04;Venom;Toulouse;Mars;0;2;A
193;02/07;12:00;Tarde;GT_Leagues;Man City;Cruise;Bayern;Pontiac;1;5;A
194;02/07;12:00;Tarde;GT_Leagues;Inter;Gorilla;PSG;Pele;2;3;A
195;02/07;12:00;Tarde;GT_Leagues;Feyenoord;Seagal;Sporting;Raul;0;2;A
196;02/07;12:00;Tarde;GT_Leagues;Atalanta;Anthem;Toulouse;Mars;4;3;H
197;02/07;11:45;Manhã;GT_Leagues;PSG;Pele;Bayern;Pontiac;2;4;A
198;02/07;11:45;Manhã;GT_Leagues;Inter;Gorilla;Real Madrid;Dennis;3;2;H
199;02/07;11:45;Manhã;GT_Leagues;Feyenoord;Seagal;Bayer 04;Venom;4;1;H
200;02/07;11:45;Manhã;GT_Leagues;Toulouse;Mars;Sporting;Raul;2;1;H
201;02/07;11:30;Manhã;GT_Leagues;PSG;Pele;Real Madrid;Dennis;6;1;H
202;02/07;11:30;Manhã;GT_Leagues;Man City;Cruise;Inter;Gorilla;0;2;A
203;02/07;11:30;Manhã;GT_Leagues;Bayer 04;Venom;Sporting;Raul;3;0;H
204;02/07;11:15;Manhã;GT_Leagues;Man City;Cruise;PSG;Pele;2;4;A
205;02/07;11:15;Manhã;GT_Leagues;Bayern;Pontiac;Real Madrid;Dennis;2;2;D
206;02/07;11:15;Manhã;GT_Leagues;Bayer 04;Venom;Atalanta;Anthem;1;2;A
207;02/07;11:15;Manhã;GT_Leagues;Toulouse;Mars;Feyenoord;Seagal;1;3;A
208;02/07;11:00;Manhã;GT_Leagues;Man City;Cruise;Real Madrid;Dennis;2;1;H
209;02/07;11:00;Manhã;GT_Leagues;Bayern;Pontiac;Inter;Gorilla;4;2;H
210;02/07;11:00;Manhã;GT_Leagues;Toulouse;Mars;Bayer 04;Venom;3;0;H
211;02/07;11:00;Manhã;GT_Leagues;Sporting;Raul;Atalanta;Anthem;2;2;D
212;02/07;10:45;Manhã;GT_Leagues;Bayern;Pontiac;Man City;Cruise;1;3;A
213;02/07;10:45;Manhã;GT_Leagues;PSG;Pele;Inter;Gorilla;5;3;H
214;02/07;10:45;Manhã;GT_Leagues;Sporting;Raul;Feyenoord;Seagal;1;4;A
215;02/07;10:45;Manhã;GT_Leagues;Toulouse;Mars;Atalanta;Anthem;0;1;A
216;02/07;10:30;Manhã;GT_Leagues;Bayern;Pontiac;PSG;Pele;2;6;A
217;02/07;10:30;Manhã;GT_Leagues;Real Madrid;Dennis;Inter;Gorilla;2;2;D
218;02/07;10:30;Manhã;GT_Leagues;Bayer 04;Venom;Feyenoord;Seagal;3;4;A
219;02/07;10:30;Manhã;GT_Leagues;Sporting;Raul;Toulouse;Mars;1;3;A
220;02/07;10:15;Manhã;GT_Leagues;Real Madrid;Dennis;PSG;Pele;1;5;A
221;02/07;10:15;Manhã;GT_Leagues;Inter;Gorilla;Man City;Cruise;3;2;H
222;02/07;10:15;Manhã;GT_Leagues;Sporting;Raul;Bayer 04;Venom;1;1;D
223;02/07;10:15;Manhã;GT_Leagues;Atalanta;Anthem;Feyenoord;Seagal;3;2;H
224;02/07;10:00;Manhã;GT_Leagues;West Ham;Dennis;Villarreal;Pontiac;4;1;H
225;02/07;10:00;Manhã;GT_Leagues;AC Milan;Pele;Benfica;Cruise;3;2;H
226;02/07;10:00;Manhã;GT_Leagues;Atalanta;Anthem;Bayer 04;Venom;2;2;D
227;02/07;10:00;Manhã;GT_Leagues;Feyenoord;Seagal;Toulouse;Mars;3;3;D
228;02/07;09:45;Manhã;GT_Leagues;Marseille;Gorilla;Villarreal;Pontiac;0;3;A
229;02/07;09:45;Manhã;GT_Leagues;West Ham;Dennis;Benfica;Cruise;3;1;H
230;02/07;09:30;Manhã;GT_Leagues;Benfica;Cruise;Villarreal;Pontiac;4;5;A
231;02/07;09:30;Manhã;GT_Leagues;RB Leipzig;Nazario;Bayern;Punisher;3;3;D
232;02/07;09:15;Manhã;GT_Leagues;AC Milan;Pele;Villarreal;Pontiac;6;3;H
233;02/07;09:15;Manhã;GT_Leagues;Marseille;Gorilla;West Ham;Dennis;0;2;A
234;02/07;09:15;Manhã;GT_Leagues;VfB Stuttgart;Aladdin;Dortmund;Panic;2;3;A
235;02/07;09:15;Manhã;GT_Leagues;Bayer 04;Magdy;Bayern;Punisher;4;1;H
236;02/07;09:00;Manhã;GT_Leagues;Benfica;Cruise;Marseille;Gorilla;1;0;H
237;02/07;09:00;Manhã;GT_Leagues;AC Milan;Pele;West Ham;Dennis;1;4;A
238;02/07;09:00;Manhã;GT_Leagues;VfB Stuttgart;Aladdin;RB Leipzig;Nazario;4;0;H
239;02/07;09:00;Manhã;GT_Leagues;Bayern;Punisher;Dortmund;Panic;1;1;D
240;02/07;08:45;Manhã;GT_Leagues;VfB Stuttgart;Aladdin;Bayer 04;Magdy;2;0;H
241;02/07;08:45;Manhã;GT_Leagues;RB Leipzig;Nazario;Dortmund;Panic;1;0;H
242;02/07;08:30;Manhã;GT_Leagues;Villarreal;Pontiac;West Ham;Dennis;5;4;H
243;02/07;08:30;Manhã;GT_Leagues;Benfica;Cruise;AC Milan;Pele;2;3;A
244;02/07;08:30;Manhã;GT_Leagues;Bayern;Punisher;VfB Stuttgart;Aladdin;2;5;A
245;02/07;08:30;Manhã;GT_Leagues;RB Leipzig;Nazario;Bayer 04;Magdy;3;6;A
246;02/07;08:15;Manhã;GT_Leagues;Villarreal;Pontiac;Marseille;Gorilla;2;3;A
247;02/07;08:15;Manhã;GT_Leagues;Benfica;Cruise;West Ham;Dennis;1;1;D
248;02/07;08:15;Manhã;GT_Leagues;Dortmund;Panic;Bayer 04;Magdy;4;1;H
249;02/07;08:15;Manhã;GT_Leagues;Bayern;Punisher;RB Leipzig;Nazario;1;2;A
250;02/07;08:00;Manhã;GT_Leagues;Villarreal;Pontiac;Benfica;Cruise;1;4;A
251;02/07;08:00;Manhã;GT_Leagues;AC Milan;Pele;Marseille;Gorilla;5;1;H
252;02/07;08:00;Manhã;GT_Leagues;Dortmund;Panic;VfB Stuttgart;Aladdin;1;3;A
