Nº;Date;Time;Shift;League;HomeTeam;HomePlayer;AwayTeam;AwayPlayer;golsHome;golsAway;FTR
95;02/07;15:15;Tarde;GT Leagues;Porto;Professor;Leipzig;Saigon;4;4;D
96;02/07;15:15;Tarde;GT Leagues;A.Madrid;Anthem;Girona;Venom;3;4;A
97;02/07;15:15;Tarde;GT Leagues;Real Madrid;Seagal;A.Bilbao;Mars;2;4;A
98;02/07;15:00;Tarde;GT Leagues;PSV;Socrates;A.Madrid;Mosquito;3;2;H
99;02/07;15:00;Tarde;GT Leagues;Napoli;Furious;Leipzig;Saigon;2;5;A
100;02/07;15:00;Tarde;GT Leagues;Dortmund;Venom;Copenhagen;Mars;2;1;H
101;02/07;15:00;Tarde;GT Leagues;Barcelona;Anthem;Arsenal;Raul;0;4;A
102;02/07;14:45;Tarde;GT Leagues;Leipzig;Saigon;A.Madrid;Mosquito;5;2;H
103;02/07;14:45;Tarde;GT Leagues;PSV;Socrates;Porto;Professor;5;6;A
104;02/07;14:45;Tarde;GT Leagues;Barcelona;Anthem;Copenhagen;Mars;1;2;A
105;02/07;14:45;Tarde;GT Leagues;Lazio;Seagal;Arsenal;Raul;2;4;A
106;02/07;14:30;Tarde;GT Leagues;Porto;Professor;A.Madrid;Mosquito;1;0;H
107;02/07;14:30;Tarde;GT Leagues;PSV;Socrates;Napoli;Furious;2;3;A
108;02/07;14:30;Tarde;GT Leagues;Lazio;Seagal;Dortmund;Venom;4;1;H
109;02/07;14:30;Tarde;GT Leagues;Copenhagen;Mars;Arsenal;Raul;3;2;H
110;02/07;14:15;Tarde;GT Leagues;Porto;Professor;Napoli;Furious;0;2;A
111;02/07;14:15;Tarde;GT Leagues;Leipzig;Saigon;PSV;Socrates;3;5;A
112;02/07;14:15;Tarde;GT Leagues;Lazio;Seagal;Barcelona;Anthem;4;3;H
113;02/07;14:15;Tarde;GT Leagues;Dortmund;Venom;Arsenal;Raul;3;4;A
114;02/07;14:00;Tarde;GT Leagues;A.Madrid;Mosquito;Napoli;Furious;1;6;A
115;02/07;14:00;Tarde;GT Leagues;Leipzig;Saigon;Porto;Professor;3;5;A
116;02/07;14:00;Tarde;GT Leagues;Dortmund;Venom;Barcelona;Anthem;3;2;H
117;02/07;14:00;Tarde;GT Leagues;Copenhagen;Mars;Lazio;Seagal;3;4;A
118;02/07;13:45;Tarde;GT Leagues;A.Madrid;Mosquito;PSV;Socrates;5;4;H
119;02/07;13:45;Tarde;GT Leagues;Leipzig;Saigon;Napoli;Furious;2;3;A
120;02/07;13:30;Tarde;GT Leagues;A.Madrid;Mosquito;Leipzig;Saigon;0;3;A
121;02/07;13:30;Tarde;GT Leagues;Porto;Professor;PSV;Socrates;1;1;D
122;02/07;13:30;Tarde;GT Leagues;Copenhagen;Mars;Dortmund;Venom;4;2;H
123;02/07;13:30;Tarde;GT Leagues;Arsenal;Raul;Barcelona;Anthem;2;5;A
124;02/07;13:15;Tarde;GT Leagues;A.Madrid;Mosquito;Porto;Professor;2;1;H
125;02/07;13:15;Tarde;GT Leagues;Napoli;Furious;PSV;Socrates;1;1;D
126;02/07;13:15;Tarde;GT Leagues;Copenhagen;Mars;Barcelona;Anthem;0;2;A
127;02/07;13:15;Tarde;GT Leagues;Arsenal;Raul;Lazio;Seagal;2;2;D
128;02/07;13:00;Tarde;GT Leagues;Napoli;Furious;Porto;Professor;1;2;A
129;02/07;13:00;Tarde;GT Leagues;PSV;Socrates;Leipzig;Saigon;2;5;A
130;02/07;13:00;Tarde;GT Leagues;Dortmund;Venom;Lazio;Seagal;1;4;A
131;02/07;13:00;Tarde;GT Leagues;Arsenal;Raul;Copenhagen;Mars;3;2;H
132;02/07;12:45;Tarde;GT Leagues;Barcelona;Anthem;Lazio;Seagal;4;4;D
133;02/07;12:45;Tarde;GT Leagues;Arsenal;Raul;Dortmund;Venom;1;1;D
134;02/07;12:30;Tarde;GT Leagues;PSG;Pele;Man City;Cruise;4;0;H
135;02/07;12:30;Tarde;GT Leagues;Real Madrid;Dennis;Bayern;Pontiac;3;4;A
136;02/07;12:30;Tarde;GT Leagues;Barcelona;Anthem;Dortmund;Venom;3;2;H
137;02/07;12:30;Tarde;GT Leagues;Lazio;Seagal;Copenhagen;Mars;1;1;D
138;02/07;12:15;Tarde;GT Leagues;Real Madrid;Dennis;Man City;Cruise;2;4;A
139;02/07;12:15;Tarde;GT Leagues;Inter;Gorilla;Bayern;Pontiac;3;3;D
140;02/07;12:15;Tarde;GT Leagues;Bayer 04;Venom;Toulouse;Mars;0;2;A
141;02/07;12:15;Tarde;GT Leagues;Atalanta;Anthem;Sporting;Raul;3;3;D
142;02/07;12:00;Tarde;GT Leagues;Man City;Cruise;Bayern;Pontiac;1;5;A
143;02/07;12:00;Tarde;GT Leagues;Inter;Gorilla;PSG;Pele;2;3;A
144;02/07;12:00;Tarde;GT Leagues;Feyenoord;Seagal;Sporting;Raul;0;2;A
145;02/07;12:00;Tarde;GT Leagues;Atalanta;Anthem;Toulouse;Mars;4;3;H
146;02/07;11:45;Manhã;GT Leagues;PSG;Pele;Bayern;Pontiac;2;4;A
147;02/07;11:45;Manhã;GT Leagues;Inter;Gorilla;Real Madrid;Dennis;3;2;H
148;02/07;11:45;Manhã;GT Leagues;Feyenoord;Seagal;Bayer 04;Venom;4;1;H
149;02/07;11:45;Manhã;GT Leagues;Toulouse;Mars;Sporting;Raul;2;1;H
150;02/07;11:30;Manhã;GT Leagues;PSG;Pele;Real Madrid;Dennis;6;1;H
151;02/07;11:30;Manhã;GT Leagues;Man City;Cruise;Inter;Gorilla;0;2;A
152;02/07;11:30;Manhã;GT Leagues;Bayer 04;Venom;Sporting;Raul;3;0;H
153;02/07;11:30;Manhã;GT Leagues;Feyenoord;Seagal;Atalanta;Anthem;3;0;H
154;02/07;11:15;Manhã;GT Leagues;Man City;Cruise;PSG;Pele;2;4;A
155;02/07;11:15;Manhã;GT Leagues;Bayern;Pontiac;Real Madrid;Dennis;2;2;D
156;02/07;11:15;Manhã;GT Leagues;Bayer 04;Venom;Atalanta;Anthem;1;2;A
157;02/07;11:15;Manhã;GT Leagues;Toulouse;Mars;Feyenoord;Seagal;1;3;A
158;02/07;11:00;Manhã;GT Leagues;Man City;Cruise;Real Madrid;Dennis;2;1;H
159;02/07;11:00;Manhã;GT Leagues;Bayern;Pontiac;Inter;Gorilla;4;2;H
160;02/07;11:00;Manhã;GT Leagues;Toulouse;Mars;Bayer 04;Venom;3;0;H
161;02/07;11:00;Manhã;GT Leagues;Sporting;Raul;Atalanta;Anthem;2;2;D
162;02/07;10:45;Manhã;GT Leagues;Bayern;Pontiac;Man City;Cruise;1;3;A
163;02/07;10:45;Manhã;GT Leagues;PSG;Pele;Inter;Gorilla;5;3;H
164;02/07;10:45;Manhã;GT Leagues;Sporting;Raul;Feyenoord;Seagal;1;4;A
165;02/07;10:45;Manhã;GT Leagues;Toulouse;Mars;Atalanta;Anthem;0;1;A
166;02/07;10:30;Manhã;GT Leagues;Bayern;Pontiac;PSG;Pele;2;6;A
167;02/07;10:30;Manhã;GT Leagues;Real Madrid;Dennis;Inter;Gorilla;2;2;D
168;02/07;10:30;Manhã;GT Leagues;Bayer 04;Venom;Feyenoord;Seagal;3;4;A
169;02/07;10:30;Manhã;GT Leagues;Sporting;Raul;Toulouse;Mars;1;3;A
170;02/07;10:15;Manhã;GT Leagues;Real Madrid;Dennis;PSG;Pele;1;5;A
171;02/07;10:15;Manhã;GT Leagues;Inter;Gorilla;Man City;Cruise;3;2;H
172;02/07;10:15;Manhã;GT Leagues;Sporting;Raul;Bayer 04;Venom;1;1;D
173;02/07;10:15;Manhã;GT Leagues;Atalanta;Anthem;Feyenoord;Seagal;3;2;H
174;02/07;10:00;Manhã;GT Leagues;West Ham;Dennis;Villarreal;Pontiac;4;1;H
175;02/07;10:00;Manhã;GT Leagues;AC Milan;Pele;Benfica;Cruise;3;2;H
176;02/07;10:00;Manhã;GT Leagues;Atalanta;Anthem;Bayer 04;Venom;2;2;D
177;02/07;10:00;Manhã;GT Leagues;Feyenoord;Seagal;Toulouse;Mars;3;3;D
178;02/07;09:45;Manhã;GT Leagues;Marseille;Gorilla;Villarreal;Pontiac;0;3;A
179;02/07;09:45;Manhã;GT Leagues;West Ham;Dennis;Benfica;Cruise;3;1;H
180;02/07;09:30;Manhã;GT Leagues;Benfica;Cruise;Villarreal;Pontiac;4;5;A
181;02/07;09:30;Manhã;GT Leagues;Marseille;Gorilla;AC Milan;Pele;4;2;H
182;02/07;09:30;Manhã;GT Leagues;Bayer 04;Magdy;Dortmund;Panic;1;2;A
183;02/07;09:30;Manhã;GT Leagues;RB Leipzig;Nazario;Bayern;Punisher;3;3;D
184;02/07;09:15;Manhã;GT Leagues;AC Milan;Pele;Villarreal;Pontiac;6;3;H
185;02/07;09:15;Manhã;GT Leagues;Marseille;Gorilla;West Ham;Dennis;0;2;A
186;02/07;09:15;Manhã;GT Leagues;VfB Stuttgart;Aladdin;Dortmund;Panic;2;3;A
187;02/07;09:15;Manhã;GT Leagues;Bayer 04;Magdy;Bayern;Punisher;4;1;H
188;02/07;09:00;Manhã;GT Leagues;Benfica;Cruise;Marseille;Gorilla;1;0;H
